species,period,term,df,sumsq,meansq,statistic,p.value
PICO,Germination,aspect,2,0.0968,0.0484,3.0143,0.1241
PICO,Germination,fire,3,0.1345,0.0448,2.7936,0.1315
PICO,Germination,Residuals,6,0.0963,0.0161,NA,NA
PICO,Survival_yr1,aspect,2,0.2891,0.1446,2.8022,0.1527
PICO,Survival_yr1,fire,3,0.2133,0.0711,1.3782,0.3509
PICO,Survival_yr1,Residuals,5,0.2579,0.0516,NA,NA
PICO,Survival_yr2,aspect,2,0.2294,0.1147,4.5563,0.0747
PICO,Survival_yr2,fire,3,0.2318,0.0773,3.0691,0.1294
PICO,Survival_yr2,Residuals,5,0.1259,0.0252,NA,NA
PICO,Survival_1to2,aspect,2,0.0217,0.0109,0.126,0.8843
PICO,Survival_1to2,fire,3,0.137,0.0457,0.5298,0.6812
PICO,Survival_1to2,Residuals,5,0.4311,0.0862,NA,NA
PICO,Establishment_yr1,aspect,2,0.1187,0.0594,6.5621,0.0309
PICO,Establishment_yr1,fire,3,0.0792,0.0264,2.9179,0.1225
PICO,Establishment_yr1,Residuals,6,0.0543,0.009,NA,NA
PICO,Establishment_yr2,aspect,2,0.1093,0.0547,6.6164,0.0304
PICO,Establishment_yr2,fire,3,0.0773,0.0258,3.1169,0.1097
PICO,Establishment_yr2,Residuals,6,0.0496,0.0083,NA,NA
PSME,Germination,aspect,2,0.0182,0.0091,2.6649,0.1485
PSME,Germination,fire,3,0.0276,0.0092,2.6874,0.1399
PSME,Germination,Residuals,6,0.0205,0.0034,NA,NA
PSME,Survival_yr1,aspect,2,0.2266,0.1133,1.1076,0.3896
PSME,Survival_yr1,fire,3,0.1138,0.0379,0.3708,0.7773
PSME,Survival_yr1,Residuals,6,0.6139,0.1023,NA,NA
PSME,Survival_yr2,aspect,2,0.2764,0.1382,1.7465,0.2525
PSME,Survival_yr2,fire,3,0.1441,0.048,0.6072,0.6343
PSME,Survival_yr2,Residuals,6,0.4747,0.0791,NA,NA
PSME,Survival_1to2,aspect,2,0.7143,0.3572,0.695,0.5649
PSME,Survival_1to2,fire,3,0.5365,0.1788,0.348,0.7954
PSME,Survival_1to2,Residuals,3,1.5416,0.5139,NA,NA
PSME,Establishment_yr1,aspect,2,0.0233,0.0117,1.8935,0.2304
PSME,Establishment_yr1,fire,3,0.0077,0.0026,0.4176,0.747
PSME,Establishment_yr1,Residuals,6,0.0369,0.0062,NA,NA
PSME,Establishment_yr2,aspect,2,0.0241,0.0121,2.8176,0.1371
PSME,Establishment_yr2,fire,3,0.0056,0.0019,0.4398,0.733
PSME,Establishment_yr2,Residuals,6,0.0257,0.0043,NA,NA
