species,period,n_models,term,estimate,lower,upper,LRT_p,odds_ratio,unit
PICO,Germination,1,germ_mois,0.6713496800928801,0.5323047947891286,0.8112718912519016,0,1.44,0.01
PICO,Germination,1,germ_temp,0.9510418104473899,0.7837115766793444,1.1246295828195334,0,2.67,1
PICO,Germination,NA,organic,NA,NA,NA,0.427,NA,NA
PICO,Survival_yr1,1,veg,-0.9663514246718096,-1.2611548140246704,-0.6895514008709294,0,0.67,10
PICO,Survival_yr1,1,year1_temp,-0.30530502216804883,-0.5306791757530996,-0.08323432478117998,0.545,0.84,1
PICO,Survival_yr1,NA,year1_mois,NA,NA,NA,0,NA,NA
PICO,Survival_yr1,NA,organic,NA,NA,NA,0.012,NA,NA
PICO,Survival_yr1,NA,N,NA,NA,NA,0.119,NA,NA
PICO,Survival_yr2,2,veg,-1.0089136205859655,-1.3767529870295774,-0.6410742541423534,0.033,0.66,10
PICO,Survival_yr2,2,year2_mois,0.38503078420219633,0.1520039588602629,0.6180576095441297,0.464,1.15,0.01
PICO,Survival_yr2,2,year2_temp,-0.4193472198800667,-0.6735550955857488,-0.16513934417438458,0.006,0.76,1
PICO,Survival_yr2,NA,year1_temp,NA,NA,NA,0.965,NA,NA
PICO,Survival_yr2,NA,year1_mois,NA,NA,NA,0,NA,NA
PICO,Survival_yr2,NA,organic,NA,NA,NA,0.006,NA,NA
PICO,Survival_yr2,NA,N,NA,NA,NA,0.001,NA,NA
PICO,Establishment_yr1,1,organic,-0.9550657640796317,-1.1848060255078303,-0.7334082982395197,0,0.48,1
PICO,Establishment_yr1,1,year1_temp,-0.7708929045147104,-0.9977892093807756,-0.5481669161321836,0.138,0.65,1
PICO,Establishment_yr1,NA,year1_mois,NA,NA,NA,0,NA,NA
PICO,Establishment_yr1,NA,N,NA,NA,NA,0.005,NA,NA
PICO,Establishment_yr1,NA,veg,NA,NA,NA,0,NA,NA
PICO,Establishment_yr2,1,organic,-0.9803064347984709,-1.2161363514721621,-0.7573074247328908,0,0.47,1
PICO,Establishment_yr2,1,year2_mois,0.8016233771686497,0.6157011215126988,0.9937090819739836,0.031,1.34,0.01
PICO,Establishment_yr2,NA,year1_temp,NA,NA,NA,0.08,NA,NA
PICO,Establishment_yr2,NA,year1_mois,NA,NA,NA,0,NA,NA
PICO,Establishment_yr2,NA,year2_temp,NA,NA,NA,0.012,NA,NA
PICO,Establishment_yr2,NA,N,NA,NA,NA,0.005,NA,NA
PICO,Establishment_yr2,NA,veg,NA,NA,NA,0.029,NA,NA
PSME,Germination,1,germ_mois,0.4546665854040305,0.25353396052247845,0.6529237754140327,0,1.28,0.01
PSME,Germination,1,germ_temp,0.5643185167724803,0.3386218188909826,0.7990151819378964,0.001,1.79,1
PSME,Germination,NA,organic,NA,NA,NA,0.14,NA,NA
PSME,Survival_yr1,2,organic,0.42433270272340673,0.03731759810846058,0.8113478073383529,0.374,1.39,1
PSME,Survival_yr1,2,year1_mois,0.7185262722088142,0.15200478575746745,1.285047758660161,0.015,1.3,0.01
PSME,Survival_yr1,2,year1_temp,-0.43077155553957075,-0.856506553565132,-0.00503655751400961,0,0.78,1
PSME,Survival_yr1,NA,N,NA,NA,NA,0.641,NA,NA
PSME,Survival_yr1,NA,veg,NA,NA,NA,0.571,NA,NA
PSME,Survival_yr2,4,veg,-1.293634881893308,-2.8673945529849134,0.2801247891982972,0.016,0.59,10
PSME,Survival_yr2,4,year1_temp,-1.5808460144328689,-2.4222269789470836,-0.7394650499186541,0,0.41,1
PSME,Survival_yr2,4,year2_mois,1.155798263536531,0.4601064629665017,1.851490064106561,0.217,1.52,0.01
PSME,Survival_yr2,4,year2_temp,-1.4502754628075858,-2.2618106298431937,-0.638740295771978,0.555,0.39,1
PSME,Survival_yr2,NA,year1_mois,NA,NA,NA,0.021,NA,NA
PSME,Survival_yr2,NA,organic,NA,NA,NA,0.506,NA,NA
PSME,Survival_yr2,NA,N,NA,NA,NA,0.501,NA,NA
PSME,Establishment_yr1,2,organic,-0.8022849700019731,-1.357968037491045,-0.24660190251290115,0.064,0.54,1
PSME,Establishment_yr1,2,year1_temp,-1.0314667329761815,-1.6108067925220126,-0.4521266734303505,0,0.56,1
PSME,Establishment_yr1,2,veg,-0.6701031445449411,-1.1850818099118876,-0.15512447917799477,0.422,0.76,10
PSME,Establishment_yr1,NA,year1_mois,NA,NA,NA,0.002,NA,NA
PSME,Establishment_yr1,NA,N,NA,NA,NA,0.496,NA,NA
PSME,Establishment_yr2,1,veg,-1.3248344833307193,-2.7052849128182537,-0.4117527658867868,0.013,0.58,10
PSME,Establishment_yr2,1,year2_mois,1.2050822706175155,0.7733196863523778,1.8719332484303597,0.152,1.55,0.01
PSME,Establishment_yr2,NA,year1_temp,NA,NA,NA,0,NA,NA
PSME,Establishment_yr2,NA,year1_mois,NA,NA,NA,0.004,NA,NA
PSME,Establishment_yr2,NA,year2_temp,NA,NA,NA,0.531,NA,NA
PSME,Establishment_yr2,NA,organic,NA,NA,NA,0.165,NA,NA
PSME,Establishment_yr2,NA,N,NA,NA,NA,0.358,NA,NA
