BFF17,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3,Port 4,Port 5,Port 5
1274 records,5TM Moisture/Temp,5TM Moisture/Temp,5TM Moisture/Temp,5TM Moisture/Temp,5TM Moisture/Temp,5TM Moisture/Temp,,5TM Moisture/Temp,5TM Moisture/Temp
Measurement Time,m_/m_ VWC,¡C Temp,m_/m_ VWC,¡C Temp,m_/m_ VWC,¡C Temp,None,m_/m_ VWC,¡C Temp
7/26/2017 4:00 PM,0.121,25.0,0.052,25.5,0.036,24.8,,0.085,24.6
7/26/2017 5:00 PM,0.120,23.5,0.051,23.6,0.034,23.2,,0.085,22.8
7/26/2017 6:00 PM,0.119,23.2,0.050,23.8,0.034,23.5,,0.086,23.0
7/26/2017 7:00 PM,0.119,23.4,0.049,23.7,0.033,23.4,,0.086,23.1
7/26/2017 8:00 PM,0.117,22.5,0.048,22.5,0.032,22.3,,0.085,21.9
7/26/2017 9:00 PM,0.116,21.4,0.047,21.0,0.031,21.1,,0.084,20.8
7/26/2017 10:00 PM,0.115,20.5,0.047,19.9,0.030,20.2,,0.083,19.8
7/26/2017 11:00 PM,0.114,19.8,0.046,19.2,0.029,19.5,,0.083,19.1
7/27/2017 12:00 AM,0.113,19.1,0.046,18.4,0.029,18.9,,0.083,18.4
7/27/2017 1:00 AM,0.113,18.6,0.046,17.8,0.029,18.3,,0.082,17.9
7/27/2017 2:00 AM,0.112,18.2,0.046,17.5,0.028,18.0,,0.082,17.6
7/27/2017 3:00 AM,0.112,17.9,0.046,17.0,0.028,17.6,,0.082,17.3
7/27/2017 4:00 AM,0.112,17.4,0.046,16.3,0.028,17.0,,0.082,16.7
7/27/2017 5:00 AM,0.111,16.7,0.046,15.1,0.027,16.1,,0.081,15.9
7/27/2017 6:00 AM,0.111,16.0,0.046,14.3,0.027,15.4,,0.081,15.2
7/27/2017 7:00 AM,0.111,15.6,0.046,14.1,0.027,15.1,,0.080,14.8
7/27/2017 8:00 AM,0.111,15.5,0.047,14.4,0.027,15.2,,0.080,14.9
7/27/2017 9:00 AM,0.112,15.7,0.047,15.1,0.028,15.7,,0.081,15.4
7/27/2017 10:00 AM,0.112,16.7,0.049,17.8,0.029,17.3,,0.082,17.1
7/27/2017 11:00 AM,0.115,19.4,0.051,22.3,0.031,20.6,,0.086,20.3
7/27/2017 12:00 PM,0.117,22.6,0.053,27.4,0.033,24.3,,0.089,24.3
7/27/2017 1:00 PM,0.120,25.2,0.053,29.6,0.034,26.5,,0.091,27.0
7/27/2017 2:00 PM,0.122,27.6,0.052,32.3,0.035,29.0,,0.093,29.6
7/27/2017 3:00 PM,0.123,28.9,0.049,32.6,0.033,29.6,,0.094,30.0
7/27/2017 4:00 PM,0.121,28.2,0.046,30.6,0.030,28.0,,0.092,28.5
