time,mois_1,temp_1,mois_2,temp_2,mois_3,temp_3,mois_5,temp_5
7/14/17 15:00,0.086,35.2,0.082,33.1,0.094,35.7,0.079,36.9
7/14/17 16:00,0.085,33.2,0.079,30,0.094,32.9,0.08,33.4
7/14/17 17:00,0.082,30.6,0.078,28.3,0.092,30.2,0.079,30.2
7/14/17 18:00,0.08,30,0.078,27.9,0.091,29.4,0.078,29.6
7/14/17 19:00,0.078,28.5,0.078,26.9,0.089,28.2,0.077,28.1
7/14/17 20:00,0.076,26.9,0.077,25.6,0.087,26.7,0.076,26.6
7/14/17 21:00,0.075,25.5,0.076,24.6,0.086,25.5,0.075,25.3
7/14/17 22:00,0.074,23.9,0.076,23.3,0.085,24.2,0.075,23.8
7/14/17 23:00,0.073,21.9,0.076,21.8,0.084,22.5,0.075,21.9
7/15/17 0:00,0.073,20.2,0.076,20.2,0.083,20.9,0.075,20.2
7/15/17 1:00,0.073,19.4,0.075,19.4,0.082,20,0.075,19.5
7/15/17 2:00,0.073,19,0.075,18.9,0.082,19.5,0.074,19.1
7/15/17 3:00,0.073,18.2,0.075,18.2,0.082,18.7,0.074,18.3
7/15/17 4:00,0.072,17.2,0.074,17.4,0.081,17.9,0.074,17.3
7/15/17 5:00,0.072,16,0.074,16.3,0.081,16.8,0.074,16.2
7/15/17 6:00,0.072,15.3,0.074,15.6,0.081,16,0.074,15.5
7/15/17 7:00,0.072,14.6,0.074,15,0.08,15.3,0.073,14.8
7/15/17 8:00,0.072,15,0.074,15.4,0.08,15.6,0.073,14.9
7/15/17 9:00,0.073,17.5,0.074,17.2,0.081,17.2,0.073,16.2
7/15/17 10:00,0.077,22.3,0.075,20.7,0.084,20.7,0.075,22.1
7/15/17 11:00,0.081,27.7,0.078,25.2,0.088,25,0.077,27.1
7/15/17 12:00,0.082,31.7,0.08,28.1,0.091,28.4,0.078,30.4
7/15/17 13:00,0.082,35.4,0.082,31,0.094,31.9,0.078,33.7
7/15/17 14:00,0.075,29.6,0.08,28.6,0.092,29.1,0.075,28.9
7/15/17 15:00,0.074,29.9,0.08,28.7,0.09,28.7,0.075,29.2
7/15/17 16:00,0.074,29.4,0.079,28,0.088,28,0.074,28.7
7/15/17 17:00,0.075,31.8,0.081,30.3,0.089,30.3,0.075,31.3
7/15/17 18:00,0.074,31.5,0.081,30.4,0.089,30.7,0.075,31.3
7/15/17 19:00,0.072,28.5,0.079,28.3,0.087,28.8,0.074,29.1
7/15/17 20:00,0.07,25.7,0.078,25.8,0.085,26.2,0.072,26.4
7/15/17 21:00,0.069,23.8,0.077,24,0.083,24.5,0.072,24.4
7/15/17 22:00,0.069,22,0.076,22.3,0.082,22.8,0.072,22.4
7/15/17 23:00,0.069,20.7,0.076,21,0.082,21.4,0.072,21.1
7/16/17 0:00,0.075,18.9,0.076,19.6,0.082,20,0.072,19.5
7/16/17 1:00,0.086,17.7,0.077,18.3,0.081,18.6,0.072,18.1
7/16/17 2:00,0.09,16.5,0.077,17.1,0.081,17.4,0.071,16.8
7/16/17 3:00,0.093,15.8,0.077,16.3,0.081,16.6,0.072,16.1
7/16/17 4:00,0.095,14.8,0.077,15.4,0.08,15.6,0.072,15
7/16/17 5:00,0.096,14.2,0.077,14.7,0.08,15,0.072,14.4
7/16/17 6:00,0.097,13.2,0.076,13.8,0.079,14.1,0.071,13.3
7/16/17 7:00,0.098,12.5,0.076,13.1,0.079,13.4,0.071,12.6
7/16/17 8:00,0.099,13.2,0.077,13.9,0.08,13.9,0.071,12.9
7/16/17 9:00,0.101,15.9,0.078,16.1,0.081,15.8,0.072,14.8
7/16/17 10:00,0.103,19.8,0.08,19.1,0.083,18.8,0.074,20
7/16/17 11:00,0.103,23,0.081,21.9,0.086,21.4,0.074,22.2
7/16/17 12:00,0.105,28.8,0.083,26.5,0.09,25.9,0.077,26.5
7/16/17 13:00,0.106,32.2,0.085,30.1,0.094,29.5,0.08,30.2
7/16/17 14:00,0.105,32.4,0.085,31,0.095,30.3,0.08,31.3
7/16/17 15:00,0.104,32.5,0.086,31.4,0.096,30.9,0.08,32
7/16/17 16:00,0.103,33.4,0.086,32.2,0.097,31.7,0.081,33.2
7/16/17 17:00,0.103,33.6,0.085,32.6,0.097,32.4,0.081,33.7
7/16/17 18:00,0.101,31.8,0.083,31.2,0.095,31.4,0.08,32.3
7/16/17 19:00,0.098,30,0.082,29.7,0.094,29.9,0.078,30.4
7/16/17 20:00,0.094,26.7,0.08,26.6,0.09,26.9,0.076,27.2
7/16/17 21:00,0.091,24,0.079,24,0.088,24.5,0.075,24.5
7/16/17 22:00,0.089,21.7,0.078,21.8,0.086,22.4,0.074,22.1
7/16/17 23:00,0.087,19.8,0.077,20,0.085,20.6,0.074,20.2
7/17/17 0:00,0.086,18.2,0.076,18.5,0.084,19.1,0.074,18.7
7/17/17 1:00,0.084,16.9,0.075,17.2,0.082,17.8,0.073,17.3
7/17/17 2:00,0.084,15.6,0.074,16.1,0.082,16.6,0.073,16.1
7/17/17 3:00,0.083,14.6,0.074,15,0.081,15.5,0.073,14.9
7/17/17 4:00,0.082,13.7,0.073,14.2,0.081,14.6,0.072,14
7/17/17 5:00,0.081,12.9,0.073,13.4,0.08,13.8,0.072,13.2
7/17/17 6:00,0.081,12,0.072,12.6,0.079,13,0.072,12.3
7/17/17 7:00,0.08,11.5,0.071,12,0.079,12.4,0.071,11.6
7/17/17 8:00,0.081,12.1,0.071,12.9,0.079,12.9,0.071,11.9
7/17/17 9:00,0.083,14.9,0.072,15,0.081,14.9,0.072,13.5
