time,mois_1,temp_1,mois_2,temp_2,mois_3,temp_3,mois_5,temp_5
7/15/17 16:00,0.087,27.5,0.12,25.7,0.108,25.8,0.108,26.7
7/15/17 17:00,0.093,32.9,0.123,28,0.113,28.3,0.111,29.5
7/15/17 18:00,0.096,35.4,0.125,30,0.116,30.2,0.114,31.3
7/15/17 19:00,0.093,32,0.124,28.9,0.116,29,0.114,30.1
7/15/17 20:00,0.089,28.7,0.121,27,0.114,27.1,0.112,28.1
7/15/17 21:00,0.085,25.6,0.119,25.1,0.112,25.2,0.111,25.9
7/15/17 22:00,0.083,22.7,0.117,23.2,0.111,23.3,0.109,23.7
7/15/17 23:00,0.082,21,0.117,21.8,0.111,21.7,0.107,22
7/16/17 0:00,0.081,20.2,0.117,21,0.11,20.9,0.107,21.1
7/16/17 1:00,0.081,19.1,0.116,20.2,0.11,20,0.107,20.1
7/16/17 2:00,0.08,17.9,0.115,19.1,0.109,18.9,0.105,18.9
7/16/17 3:00,0.079,17.3,0.115,18.5,0.108,18.2,0.105,18.2
7/16/17 4:00,0.078,16.4,0.114,17.7,0.108,17.3,0.104,17.4
7/16/17 5:00,0.078,15.9,0.114,17.2,0.107,16.7,0.103,16.7
7/16/17 6:00,0.077,15.1,0.114,16.6,0.107,16,0.102,16
7/16/17 7:00,0.077,14.7,0.113,16.1,0.106,15.5,0.102,15.5
7/16/17 8:00,0.077,14.7,0.113,15.9,0.106,15.3,0.102,15.3
7/16/17 9:00,0.077,14.7,0.113,15.8,0.106,15.2,0.102,15.2
7/16/17 10:00,0.078,15.6,0.114,16.2,0.106,15.8,0.103,15.9
7/16/17 11:00,0.08,17.4,0.114,17.6,0.108,17.7,0.104,17.7
7/16/17 12:00,0.082,20,0.117,19.8,0.111,20.3,0.107,19.9
7/16/17 13:00,0.087,25.2,0.12,23.2,0.114,24,0.11,23.8
7/16/17 14:00,0.089,27.2,0.121,24.6,0.115,25.5,0.112,25.8
7/16/17 15:00,0.088,27,0.121,24.6,0.115,25.3,0.112,25.8
7/16/17 16:00,0.09,28.5,0.121,25.3,0.116,25.9,0.112,26.6
7/16/17 17:00,0.093,31.9,0.123,27.3,0.118,27.9,0.114,28.9
7/16/17 18:00,0.089,28.8,0.121,26.3,0.117,26.7,0.114,27.6
7/16/17 19:00,0.089,29.7,0.121,26.5,0.117,26.6,0.114,27.6
7/16/17 20:00,0.088,29.4,0.121,26.3,0.116,26.1,0.113,27.4
7/16/17 21:00,0.084,25.6,0.118,24.7,0.115,24.5,0.111,25.6
7/16/17 22:00,0.081,22.2,0.116,22.5,0.113,22.5,0.108,23.1
7/16/17 23:00,0.079,20.1,0.115,20.9,0.112,20.8,0.107,21.2
7/17/17 0:00,0.078,18.5,0.114,19.6,0.11,19.4,0.106,19.7
7/17/17 1:00,0.077,17.3,0.114,18.5,0.109,18.2,0.105,18.4
7/17/17 2:00,0.077,16.2,0.113,17.6,0.108,17.2,0.104,17.4
7/17/17 3:00,0.076,15.3,0.112,16.8,0.107,16.3,0.103,16.4
7/17/17 4:00,0.075,14.7,0.112,16.1,0.107,15.6,0.102,15.7
7/17/17 5:00,0.074,14,0.112,15.5,0.106,14.9,0.102,15
7/17/17 6:00,0.074,13.3,0.112,14.9,0.105,14.2,0.101,14.3
