STATION,NAME,DATE,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-STDDEV
USC00248857,West Yellowstone,6,-0.1,-16.1,,,,,,,,58.67,,,,,,,,,,,,,,11,-16.6,299,29,231,140,34,0,0,0,19.8,-15.9,0,0,1,9,224,297,300,300,2.2,-16.8
USC00248857,West Yellowstone,7,2.9,-16,,,,,,,,44.96,,,,,,,,,,,,,,14.8,-16.3,310,31,296,250,132,1,0,0,25.2,-15.7,0,0,0,3,157,298,310,310,4.4,-16.6
USC00248857,West Yellowstone,8,4.4,-15.7,,,,,,,,29.46,,,,,,,,,,,,,,13.9,-16.6,310,31,304,259,120,0,0,0,25.1,-15.9,0,0,1,6,216,304,310,310,2.8,-16.4
USC00248857,West Yellowstone,9,2.6,-15.2,,,,,,,,34.8,,,,,,,,,,,,,,8.9,-16.2,294,27,220,124,28,0,0,0,19.1,-15,0,2,28,19,275,298,300,300,-1.3,-16.8
USC00489025,Tower Falls,6,0.9,-15.7,39.62,46.23,66.29,14,6,1,0,51.05,0,0,0,0,-7777,-7777,-7777,-7777,10.2,0,0,-7777,-7777,11.5,-16.3,300,29,250,160,42,0,0,0,20.8,-15.8,0,0,1,7,223,296,300,300,2.2,-16.2
USC00489025,Tower Falls,7,4.2,-15,22.61,39.37,52.58,11,5,1,-7777,41.66,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,-16,310,31,302,268,156,2,0,0,26.1,-15,0,0,0,3,177,292,310,310,4.2,-16.1
USC00489025,Tower Falls,8,5.3,-15.2,14.73,35.81,45.72,10,4,1,0,34.54,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,-16.6,310,31,305,271,160,1,0,0,26.2,-15.8,0,0,1,5,212,302,310,310,3.1,-16.3
USC00489025,Tower Falls,9,4.1,-15.2,17.53,28.45,50.55,8,4,0,-7777,33.02,0,0,0,0,0,0,-7777,0,15.2,-7777,-7777,-7777,0,9.7,-16.1,295,28,238,156,52,-7777,0,0,20.6,-15.2,0,3,22,19,280,300,300,300,-1.2,-16.2
USC00486440,"Moran, WY",6,0.4,-15.7,26.92,34.04,60.2,9,6,1,-7777,43.69,0,0,0,0,0,-7777,0,0,7.6,0,0,0,0,11.7,-16.3,300,29,250,153,32,0,0,0,20.8,-15.5,0,0,0,7,216,296,300,300,2.6,-16.6
USC00486440,"Moran, WY",7,3.1,-15.8,14.99,23.37,46.99,7,4,1,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,-16.3,310,31,306,281,149,1,0,0,26.1,-15.5,0,0,0,1,121,292,310,310,5.3,-16.7
USC00486440,"Moran, WY",8,3.7,-16.1,15.24,31.5,45.72,7,4,1,0,31.24,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,-16.6,310,31,307,282,131,0,0,0,25.7,-16.4,0,0,0,3,163,297,310,310,4.2,-16.3
USC00486440,"Moran, WY",9,1.9,-15.5,22.1,33.78,52.83,7,5,1,-7777,35.81,0,0,0,-7777,0,0,0,0,0,0,0,0,0,10.1,-16.2,298,28,243,140,20,0,0,0,19.9,-15.6,0,1,5,15,263,300,300,300,0.2,-16.2
