fire,aspect,utm_zone,easting,northing,dem_elev,tri,tpi,slope,aspect_deg,elev
Berry-Glade,Flat,12,522103,4881281,2163,1,7.5658,2.69895,315,2169
Berry-Glade,North,12,522423,4881413,2143,4.375,-7.50933,11.49947,34.99202,2133
Berry-Glade,South,12,521863,4881185,2158,1.625,-11.69104,4.10029,144.46233,2126
Berry-Huck,Flat,12,525502,4880045,2138,4.375,12.98682,9.78732,322.8533,2120
Berry-Huck,North,12,525359,4879038,2213,5.5,94.29938,12.90947,358.95837,2218
Berry-Huck,South,12,525969,4881450,2090,6.75,0.93353,16.16874,277.4314,2093
Buffalo,Flat,12,554714,4977965,1915,5.625,4.89674,14.35045,142.94347,1919
Buffalo,North,12,556538,4978811,2023,2.75,-46.40283,4.38049,67.61987,2036
Buffalo,South,12,555102,4978374,1995,10.625,-0.26787,25.37864,141.41879,1918
Maple,Flat,12,501885,4946679,2092,0.5,277.72299,0.75489,341.56506,2095
Maple,North,12,503270,4946460,2157,4.5,0.13032,10.74442,19.23067,2168
Maple,South,12,503521,4946608,2178,3.75,-1.17676,9.01551,256.32867,2185
