(Intercept),Clay,mois_q50_germ,N,organic,temp_q50_germ,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-2.218757842492608,NA,0.546229964251439,-0.36301823157230945,NA,0.8439836937788333,NA,0.9999999980281172,0.9999999980282661,4,-37.96546675371018,97.26426684075369,0,0.432102902895607
-2.266747886268572,NA,0.8398656804199094,-0.8507930923846394,0.7802421415985076,0.9783779055787971,NA,0.9999999997776797,0.9999999997778286,5,-29.234965658493834,98.46993131698767,1.2056644762339772,0.236472405602014
-2.006118718374958,NA,0.6184546007401849,NA,NA,0.9221317381967716,NA,0.999999992406765,0.9999999924069138,3,-43.3585423999545,98.717084799909,1.4528179591553112,0.208983391322009
-1.9213301204687552,NA,0.8012037510834136,NA,NA,0.8904363351397399,0.37701607274342863,0.9999999972698445,0.9999999972699933,4,-39.266945768057326,99.867224869448,2.602958028694303,0.117587736278295
-1.9841762016446403,NA,0.6535874323067465,NA,0.07512381166857136,0.9485465418575831,NA,0.9999999927431336,0.9999999927432824,4,-43.17730393193529,107.68794119720391,10.42367435645022,0.00235567328553451
-1.999203970653216,0.027062908063050273,0.627649465894315,NA,NA,0.9225076414970712,NA,0.9999999924544545,0.9999999924546034,4,-43.33334105851217,108.00001545035767,10.735748609603974,0.00201534310477086
-2.1209862301324423,NA,0.6941823582159208,-0.29776478239494436,NA,0.8327590239656073,0.2653363798757134,0.9999999987742486,0.9999999987743975,5,-36.06372750773005,112.1274550154601,14.863188174706409,0.000255909777995078
-2.1999183246410663,0.2254911334941189,0.6098340670493612,-0.4387358124545411,NA,0.8197466055605903,NA,0.9999999986651744,0.9999999986653233,5,-36.40471404815494,112.80942809630989,15.545161255556195,0.000181969376554533
-1.9482178927977254,-0.21925475551768486,0.7990912280959056,NA,NA,0.8783344098950517,0.5186080233222177,0.9999999979702529,0.9999999979704017,5,-38.08115642666657,116.16231285333313,18.898046012579442,3.40352255445136e-05
-1.922133490886,NA,0.8000331112453715,NA,-0.003366787472211664,0.8891694147531775,0.3777952006446713,0.9999999972700709,0.9999999972702198,5,-39.26661401959224,118.53322803918448,21.268961198430787,1.04013794917941e-05
-1.9853047249425695,-0.0918556786585048,0.65798512874136,NA,0.15119004510225165,0.9737588952322409,NA,0.9999999929211763,0.9999999929213251,5,-43.07794251081384,126.15588502162768,28.89161818087399,2.3006577091706e-07
-2.3801746906076984,NA,NA,-0.5802688420465177,NA,0.6852694472117572,-0.3655273067157913,0.999999745943804,0.9999997459439529,4,-57.39973342318525,136.13280017970385,38.86853333895016,1.56816735778701e-09
