(Intercept),Clay,mois_q50_germ,N,organic,temp_q50_germ,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-2.852042180095843,NA,0.42671117349086074,NA,NA,0.6082586852290485,NA,0.9836264156259372,0.9836479226896037,3,-26.474223737701436,64.94844747540287,0,0.506096444319899
-3.006982914888385,-0.5631810125970104,NA,NA,NA,0.5079210253314211,NA,0.9785699020099573,0.978591298512583,3,-27.55073195647546,67.10146391295092,2.1530164375480467,0.17246926277351
-3.0337171728228447,NA,NA,NA,-0.5501013501866787,0.3823374592804776,NA,0.9745125530592275,0.974533860847621,3,-28.2442906448157,68.4885812896314,3.5401338142285255,0.0861991524654353
-2.9905317887072487,-0.4051260518534976,0.30715303980631653,NA,NA,0.628447315496728,NA,0.9920480991949812,0.992069790399376,4,-23.585190408554126,68.5037141504416,3.555266675038723,0.0855493938539183
-3.0561574393335103,NA,0.3515186513416723,-0.34987033236081305,NA,0.5371923899564879,NA,0.9916458140627104,0.9916674964711113,4,-23.782597320736087,68.89852797480552,3.9500804994026453,0.0702237801922611
-3.0793382713383877,NA,NA,-0.47158378142391727,NA,0.35257723105871863,NA,0.9684753272802065,0.9684965030642159,3,-29.094628429074625,70.18925685814925,5.240809382746377,0.0368303620671194
-2.9457638938932047,NA,0.3071850222078172,NA,-0.26261244926184146,0.5339016714147474,NA,0.9874166765468175,0.9874382664848168,4,-25.4210360357163,72.17540540476594,7.226957929363067,0.0136432963057905
-3.126450959648133,-0.39734394308260507,NA,-0.2934444006837854,NA,0.45775749697069074,NA,0.9849390663914243,0.9849606021562959,4,-26.139963280526445,73.61325989438623,8.66481241898336,0.00664803314370804
-2.819218630877672,NA,0.48562891523986773,NA,NA,0.5941870449071776,0.12724119277764584,0.9844958692912749,0.9845173953656094,4,-26.25597237135285,73.84527807603904,8.896830600636164,0.00591985498151383
-3.1940147589430485,NA,NA,-0.4859189253898054,NA,0.46997596772070543,-0.3202400476937648,0.9838322911907866,0.9838538027559374,4,-26.423610306813192,74.18055394695972,9.232106471556847,0.00500618434313686
-3.030885665635334,-0.39173245878154483,NA,NA,-0.20319419082440693,0.4693251703780607,NA,0.9798453970120794,0.9798668214034968,4,-27.305277222040942,75.94388777741523,10.995440302012355,0.00207302128585618
-3.104815200427815,NA,NA,-0.24156761508745284,-0.3708225561347464,0.37044772618429683,NA,0.9788805743277577,0.9789019776232563,4,-27.49231948799676,76.31797230932685,11.369524833923975,0.00171938184809403
-3.0120688119614436,-0.5500622830379287,NA,NA,NA,0.515677666934869,-0.02985402837758325,0.9786423334602011,0.9786637315465457,4,-27.537189483251858,76.40771229983704,11.459264824434172,0.00164393842299106
-2.798450764611399,NA,NA,NA,NA,0.40937648877680527,NA,0.8535987200552013,0.8536173840537745,2,-35.236951805445386,76.87390361089078,11.925456135487906,0.00130212713481175
-3.03574006141242,NA,NA,-0.4900922144876859,NA,NA,NA,0.8445026210656785,0.8445210861773806,2,-35.478061931317626,77.35612386263526,12.407676387232385,0.00102315302356123
-2.9550266439822406,NA,NA,NA,-0.5137286136585387,NA,NA,0.8390586214286905,0.8390769675069416,2,-35.61570719003294,77.63141438006589,12.682966904663019,0.000891583485658638
-2.9044897848791975,NA,NA,NA,NA,0.5177243932798447,-0.3299072638740422,0.9199286841312889,0.9199487984393879,3,-32.8232171720347,77.6464343440694,12.697986868666533,0.000884912789484529
-3.036936989177825,NA,NA,NA,-0.5219669453636434,0.39953733625226445,-0.04879214455398033,0.9747567371572273,0.974778050284724,4,-28.205783636364345,77.74490060606203,12.79645313065916,0.000842400846933245
-2.9562298482455747,NA,NA,NA,-0.6779114661924148,NA,0.26566592583499027,0.8967851159613667,0.8968047242336514,3,-33.83879869963432,79.67759739926863,14.729149923865762,0.000320508106584844
-3.0379254245518577,NA,NA,-0.29435950540941097,-0.28287384159026385,NA,NA,0.8772664681743876,0.877285649670008,3,-34.53160881789682,81.06321763579363,16.114770160390762,0.000160308077996134
-2.9680129947103833,0.25360220781443515,NA,NA,-0.7455852572225222,NA,NA,0.8627804654954032,0.8627993302535134,3,-34.9778747680315,81.955749536063,17.007302060660123,0.000102599340126472
-3.025973280035756,NA,0.08145445072772442,-0.46385881730771894,NA,NA,NA,0.857522569853734,0.8575413196475706,3,-35.12828083722406,82.25656167444812,17.30811419904525,8.82722185156191e-05
-3.0404723921013095,-0.07711074794213497,NA,-0.4534927928433061,NA,NA,NA,0.8504900625927156,0.8505086586202656,3,-35.320997874613575,82.64199574922715,17.693548273824277,7.27994495915223e-05
-2.9299457014641566,-0.6013311479038995,0.4946248520345131,NA,NA,0.5879460528716517,0.5105720011566542,0.9954107669440861,0.9954325316734578,5,-21.386398107905933,82.77279621581187,17.824348740408993,6.81906979141148e-05
-3.0419420592999855,NA,NA,-0.4907272459648313,NA,NA,-0.020926080686290552,0.8451631132876708,0.8451815928410839,3,-35.461035304421344,82.92207060884269,17.973623133439816,6.32864321915664e-05
-2.9592072894643513,NA,-0.013336518855169087,NA,-0.5251571575634322,NA,NA,0.8393537773953886,0.8393721299272466,3,-35.60836471666653,83.21672943333306,18.268281957930185,5.46168013563597e-05
-3.0875693166319476,-0.2732359822782437,0.29253612396197437,-0.2402898053822454,NA,0.5789128256694561,NA,0.9936020927459759,0.9936238179285537,5,-22.71543020965406,85.43086041930812,20.482412943905246,1.80523534185259e-05
