date,species,dish,count,
10/6/17,PICO,1,0,10
10/9/17,PICO,1,10,3
10/10/17,PICO,1,13,3
10/11/17,PICO,1,16,2
10/12/17,PICO,1,18,1
10/13/17,PICO,1,19,0
10/17/17,PICO,1,19,0
10/19/17,PICO,1,19,0
10/20/17,PICO,1,19,0
10/27/17,PICO,1,19,0
10/30/17,PICO,1,19,0
11/1/17,PICO,1,19,0
11/2/17,PICO,1,19,0
11/3/17,PICO,1,19,0
11/6/17,PICO,1,19,0
11/17/17,PICO,1,19,0
11/21/17,PICO,1,19,0
12/7/17,PICO,1,19,0
12/21/17,PICO,1,19,-19
10/6/17,PSME,1,0,0
10/9/17,PSME,1,0,0
10/10/17,PSME,1,0,0
10/11/17,PSME,1,0,1
10/12/17,PSME,1,1,3
10/13/17,PSME,1,4,4
10/17/17,PSME,1,8,0
10/19/17,PSME,1,8,2
10/20/17,PSME,1,10,2
10/27/17,PSME,1,12,0
10/30/17,PSME,1,12,1
11/1/17,PSME,1,13,1
11/2/17,PSME,1,14,0
11/3/17,PSME,1,14,1
11/6/17,PSME,1,15,0
11/17/17,PSME,1,15,0
11/21/17,PSME,1,15,0
12/7/17,PSME,1,15,0
12/21/17,PSME,1,15,-15
10/6/17,PICO,2,0,0
10/9/17,PICO,2,0,2
10/10/17,PICO,2,2,3
10/11/17,PICO,2,5,0
10/12/17,PICO,2,5,0
10/13/17,PICO,2,5,3
10/17/17,PICO,2,8,1
10/19/17,PICO,2,9,0
10/20/17,PICO,2,9,1
10/27/17,PICO,2,10,2
10/30/17,PICO,2,12,0
11/1/17,PICO,2,12,0
11/2/17,PICO,2,12,0
11/3/17,PICO,2,12,1
11/6/17,PICO,2,13,0
11/17/17,PICO,2,13,1
11/21/17,PICO,2,14,1
12/7/17,PICO,2,15,0
12/21/17,PICO,2,15,-15
10/6/17,PSME,2,0,0
10/9/17,PSME,2,0,1
10/10/17,PSME,2,1,0
10/11/17,PSME,2,1,1
10/12/17,PSME,2,2,1
10/13/17,PSME,2,3,4
10/17/17,PSME,2,7,5
10/19/17,PSME,2,12,0
10/20/17,PSME,2,12,2
10/27/17,PSME,2,14,0
10/30/17,PSME,2,14,0
11/1/17,PSME,2,14,0
11/2/17,PSME,2,14,0
11/3/17,PSME,2,14,1
11/6/17,PSME,2,15,1
11/17/17,PSME,2,16,0
11/21/17,PSME,2,16,0
12/7/17,PSME,2,16,0
12/21/17,PSME,2,16,-16
10/6/17,PICO,3,0,2
10/9/17,PICO,3,2,3
10/10/17,PICO,3,5,0
10/11/17,PICO,3,5,1
10/12/17,PICO,3,6,2
10/13/17,PICO,3,8,3
10/17/17,PICO,3,11,0
10/19/17,PICO,3,11,0
10/20/17,PICO,3,11,0
10/27/17,PICO,3,11,0
10/30/17,PICO,3,11,0
11/1/17,PICO,3,11,1
11/2/17,PICO,3,12,0
11/3/17,PICO,3,12,0
11/6/17,PICO,3,12,1
11/17/17,PICO,3,13,0
11/21/17,PICO,3,13,0
12/7/17,PICO,3,13,1
12/21/17,PICO,3,14,-14
10/6/17,PSME,3,0,0
10/9/17,PSME,3,0,1
10/10/17,PSME,3,1,2
10/11/17,PSME,3,3,1
10/12/17,PSME,3,4,1
10/13/17,PSME,3,5,3
10/17/17,PSME,3,8,0
10/19/17,PSME,3,8,0
10/20/17,PSME,3,8,2
10/27/17,PSME,3,10,1
10/30/17,PSME,3,11,1
11/1/17,PSME,3,12,1
11/2/17,PSME,3,13,0
11/3/17,PSME,3,13,0
11/6/17,PSME,3,13,0
11/17/17,PSME,3,13,0
11/21/17,PSME,3,13,0
12/7/17,PSME,3,13,0
12/21/17,PSME,3,13,-13
10/6/17,PICO,4,0,6
10/9/17,PICO,4,6,2
10/10/17,PICO,4,8,3
10/11/17,PICO,4,11,1
10/12/17,PICO,4,12,0
10/13/17,PICO,4,12,3
10/17/17,PICO,4,15,0
10/19/17,PICO,4,15,0
10/20/17,PICO,4,15,0
10/27/17,PICO,4,15,0
10/30/17,PICO,4,15,0
11/1/17,PICO,4,15,0
