date,site,height,basal,ag_mass,root_mass
7/4/18,BHN,34,1.57,0.0336,0.0103
7/4/18,BHN,47,1.63,0.0518,0.0161
7/4/18,BHN,46,1.39,0.0954,0.0217
7/4/18,BHN,35,0.91,0.0153,0.0101
6/?/2018,BGN,22,0.7,0.0063,0.002
6/?/2018,BGN,62,1.69,0.2782,0.0639
6/?/2018,BGN,56,1.64,0.2892,0.1795
6/?/2018,BGN,40,1.25,0.078,0.057
6/?/2018,BGN,53,1.54,0.1353,0.0966
6/?/2018,BGF,31,0.85,0.0334,0.0261
6/?/2018,BGF,50,1.47,0.1106,0.0732
6/?/2018,BGF,86,2.09,0.6454,0.1349
6/?/2018,BGF,19,1.06,0.0378,0.016
7/6/18,BGN,35,0.77,0.0206,0.0072
6/?/2018,BGF,37,1.33,0.053,0.0352
7/6/18,BGF,28,1.26,0.0208,0.006
7/6/18,BGF,29,0.96,0.0301,0.0131
7/6/18,BGF,39,1.1,0.0618,0.0197
7/6/18,BGS,65,1.96,0.2628,0.066
7/6/18,BGS,51,1.99,0.2188,0.0877
7/9/18,MPN,102,2.3,0.5194,0.0915
7/9/18,MPN,24,0.72,0.0058,0.0034
7/14/18,BG-Old,22,0.75,0.0146,0.0056
7/31/18,BG-Old,28,0.73,0.0184,0.0074
7/31/18,BG-Old,38,0.89,0.0361,0.0105
7/31/18,BG-Old,28,0.73,0.0188,0.0048
7/31/18,BG-Old,36,0.72,0.0269,0.0068
7/31/18,BG-Old,39,0.94,0.0407,0.0135
7/31/18,BG-Old,36,0.79,0.0266,0.0092
8/12/18,BHN,50,1.28,0.0656,0.0153
8/12/18,BHN,50,1.16,0.1016,0.0202
8/12/18,BHN,29,0.88,0.0303,0.0142
8/12/18,BHN,35,0.83,0.0344,0.0105
8/12/18,BHN,43,1.43,0.1024,0.0241
8/12/18,BHN,32,0.69,0.0198,0.01
