date,frameID,Fire,Aspect,Species,Direction,height_10_A,height_10_B,height_10_C,height_10_D,height_10_E,height_9_A,height_9_B,height_9_C,height_9_D,height_9_E,height_8_A,height_8_B,height_8_C,height_8_D,height_8_E,height_7_A,height_7_B,height_7_C,height_7_D,height_7_E,height_6_A,height_6_B,height_6_C,height_6_D,height_6_E,height_5_A,height_5_B,height_5_C,height_5_D,height_5_E,height_4_A,height_4_B,height_4_C,height_4_D,height_4_E,height_3_A,height_3_B,height_3_C,height_3_D,height_3_E,height_2_A,height_2_B,height_2_C,height_2_D,height_2_E,height_1_A,height_1_B,height_1_C,height_1_D,height_1_E,basal_10_A,basal_10_B,basal_10_C,basal_10_D,basal_10_E,basal_9_A,basal_9_B,basal_9_C,basal_9_D,basal_9_E,basal_8_A,basal_8_B,basal_8_C,basal_8_D,basal_8_E,basal_7_A,basal_7_B,basal_7_C,basal_7_D,basal_7_E,basal_6_A,basal_6_B,basal_6_C,basal_6_D,basal_6_E,basal_5_A,basal_5_B,basal_5_C,basal_5_D,basal_5_E,basal_4_A,basal_4_B,basal_4_C,basal_4_D,basal_4_E,basal_3_A,basal_3_B,basal_3_C,basal_3_D,basal_3_E,basal_2_A,basal_2_B,basal_2_C,basal_2_D,basal_2_E,basal_1_A,basal_1_B,basal_1_C,basal_1_D,basal_1_E,Notes,_id,_uuid,_submission_time,_index
2018-06-20,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11549584,3d51d3d1-5818-4c96-8cab-691e47926b6d,2018-06-21T03:47:15,17
2018-07-03,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11997542,bd1639e5-33b6-4d6e-adb1-ecac2a2b0da9,2018-07-03T21:11:49,211
2018-07-17,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,12585893,1d1facc8-f096-4496-93ab-4d353ba54ebc,2018-07-17T23:45:48,433
2018-07-31,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,13115918,b734adbe-5b3c-4717-b40d-26d8edfbb1f5,2018-08-03T13:21:28,632
2018-08-11,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,13429919,c9c40197-e0bd-4dad-b2a8-213e1aa8b63b,2018-08-12T22:25:22,766
2018-10-16,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16529645,a4d66522-99cf-4b83-9677-36c669e8c6c9,2018-10-20T00:03:33,859
2019-06-17,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30457242,243bed20-c644-4528-85c7-12c1d9095df9,2019-06-19T02:26:14,1023
2019-10-06,1265,berry_glade,flat,control,nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-20,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11549594,746167bc-4de7-4d0e-8275-609f65c7a8d3,2018-06-21T03:47:29,13
2018-07-03,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11997539,ccd89871-8584-4a3d-b0e3-e052b444d317,2018-07-03T21:11:44,208
2018-07-17,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,12585890,550f3750-9537-4ea9-9639-be69b982bc3a,2018-07-17T23:45:41,435
2018-07-31,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,13115915,558bd2ce-aeca-4775-be70-718c32c6f828,2018-08-03T13:21:27,629
2018-08-11,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,13429916,61ac4a52-80e2-4dce-b9d8-e955862663ad,2018-08-12T22:25:01,763
2018-10-16,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16529642,7bbedc0a-18f9-4897-8725-31bafdf757e4,2018-10-20T00:03:31,856
2019-06-17,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30457227,9b03641e-a98c-48e7-b184-e5d717b461bb,2019-06-19T02:26:05,1020
2019-10-06,1304,berry_glade,flat,control,sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Check prior on 1475, nothing shown on key but 3 alive...",,,,
2018-06-20,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11549589,5e842883-f99f-483b-bd08-d45f3357d011,2018-06-21T03:47:25,14
2018-07-03,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11997536,db73fd57-5185-4fcc-9420-c42641f51702,2018-07-03T21:11:40,205
2018-07-17,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,12585887,0dfa6481-125f-4505-9859-a133abd7bceb,2018-07-17T23:45:36,438
2018-07-31,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,13115924,eff0fd58-622d-4fdc-b64a-0ca5d690c5f3,2018-08-03T13:21:32,638
2018-08-11,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,13429928,b1485b5b-2438-4e28-95e3-34585882db80,2018-08-12T22:26:05,772
2018-10-16,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16529639,c678832c-5eaa-431b-a9ac-f8129034cd7d,2018-10-20T00:03:29,853
2019-06-17,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30457266,bec6a9b9-8ac7-4ddf-aabd-c47c8c65cca1,2019-06-19T02:26:33,1029
2019-10-06,1351,berry_glade,flat,control,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-20,1403,berry_glade,flat,control,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11549579,5a1dd08f-70b5-4ad1-b50b-1e2964a2ec1d,2018-06-21T03:47:03,20
2018-07-03,1403,berry_glade,flat,control,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,11997531,ff6d2818-07ad-4dc4-bfc9-677d0a17ffda,2018-07-03T21:11:34,200
2018-07-17,1403,berry_glade,flat,control,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing,12585896,0424a00b-fe90-4a23-8654-dedb24ae215e,2018-07-17T23:45:54,431
