date,station_id,station_name,SWE,med_SWE,precip
Oct-08,384,Canyon,0,0,0
Nov-08,384,Canyon,0,15,25
Dec-08,384,Canyon,53,77,86
Jan-09,384,Canyon,140,139,163
Feb-09,384,Canyon,218,207,241
Mar-09,384,Canyon,264,267,287
Apr-09,384,Canyon,345,313,373
May-09,384,Canyon,373,264,470
Jun-09,384,Canyon,0,0,521
Jul-09,384,Canyon,0,0,671
Aug-09,384,Canyon,0,0,696
Sep-09,384,Canyon,0,0,726
Oct-09,384,Canyon,0,0,0
Nov-09,384,Canyon,36,15,76
Dec-09,384,Canyon,76,77,114
Jan-10,384,Canyon,122,139,160
Feb-10,384,Canyon,155,207,196
Mar-10,384,Canyon,178,267,221
Apr-10,384,Canyon,203,313,246
May-10,384,Canyon,180,264,335
Jun-10,384,Canyon,0,0,414
Jul-10,384,Canyon,0,0,508
Aug-10,384,Canyon,0,0,521
Sep-10,384,Canyon,0,0,544
Oct-10,384,Canyon,0,0,0
Nov-10,384,Canyon,8,15,46
Dec-10,384,Canyon,107,77,145
Jan-11,384,Canyon,218,139,254
Feb-11,384,Canyon,279,207,315
Mar-11,384,Canyon,343,267,371
Apr-11,384,Canyon,444,313,478
May-11,384,Canyon,551,264,597
Jun-11,384,Canyon,353,0,691
Jul-11,384,Canyon,0,0,747
Aug-11,384,Canyon,0,0,754
Sep-11,384,Canyon,0,0,754
Oct-11,384,Canyon,0,0,0
Nov-11,384,Canyon,18,15,66
Dec-11,384,Canyon,79,77,127
Jan-12,384,Canyon,140,139,178
Feb-12,384,Canyon,206,207,244
Mar-12,384,Canyon,272,267,310
Apr-12,384,Canyon,315,313,376
May-12,384,Canyon,236,264,462
Jun-12,384,Canyon,0,0,572
Jul-12,384,Canyon,0,0,617
Aug-12,384,Canyon,0,0,650
Sep-12,384,Canyon,0,0,655
Oct-12,384,Canyon,0,0,0
Nov-12,384,Canyon,25,15,48
Dec-12,384,Canyon,64,77,94
Jan-13,384,Canyon,145,139,175
Feb-13,384,Canyon,190,207,221
Mar-13,384,Canyon,218,267,249
Apr-13,384,Canyon,269,313,300
May-13,384,Canyon,290,264,356
Jun-13,384,Canyon,0,0,399
Jul-13,384,Canyon,0,0,437
Aug-13,384,Canyon,0,0,447
Sep-13,384,Canyon,0,0,467
Oct-13,384,Canyon,0,0,0
Nov-13,384,Canyon,23,15,53
Dec-13,384,Canyon,64,77,104
Jan-14,384,Canyon,135,139,173
Feb-14,384,Canyon,198,207,236
Mar-14,384,Canyon,287,267,333
Apr-14,384,Canyon,386,313,419
May-14,384,Canyon,391,264,488
Jun-14,384,Canyon,0,0,531
Jul-14,384,Canyon,0,0,564
Aug-14,384,Canyon,0,0,569
Sep-14,384,Canyon,0,0,676
Oct-14,384,Canyon,0,0,0
Nov-14,384,Canyon,18,15,41
Dec-14,384,Canyon,91,77,119
Jan-15,384,Canyon,165,139,188
Feb-15,384,Canyon,224,207,246
Mar-15,384,Canyon,244,267,269
Apr-15,384,Canyon,244,313,279
May-15,384,Canyon,91,264,295
Jun-15,384,Canyon,0,0,373
Jul-15,384,Canyon,0,0,391
Aug-15,384,Canyon,0,0,422
Sep-15,384,Canyon,0,0,444
Oct-15,384,Canyon,0,0,0
Nov-15,384,Canyon,0,15,41
Dec-15,384,Canyon,56,77,109
Jan-16,384,Canyon,142,139,196
Feb-16,384,Canyon,196,207,246
Mar-16,384,Canyon,224,267,282
Apr-16,384,Canyon,272,313,333
May-16,384,Canyon,150,264,361
Jun-16,384,Canyon,0,0,424
Jul-16,384,Canyon,0,0,444
Aug-16,384,Canyon,0,0,450
Sep-16,384,Canyon,0,0,452
Oct-16,384,Canyon,0,0,0
Nov-16,384,Canyon,0,15,145
Dec-16,384,Canyon,43,77,193
Jan-17,384,Canyon,173,139,325
Feb-17,384,Canyon,269,207,424
Mar-17,384,Canyon,389,267,546
Apr-17,384,Canyon,437,313,632
May-17,384,Canyon,475,264,732
Jun-17,384,Canyon,0,0,767
Jul-17,384,Canyon,0,0,800
Aug-17,384,Canyon,0,0,813
Sep-17,384,Canyon,0,0,833
Oct-17,384,Canyon,0,0,0
Nov-17,384,Canyon,0,15,23
Dec-17,384,Canyon,109,77,142
Jan-18,384,Canyon,180,139,224
Feb-18,384,Canyon,279,207,323
Mar-18,384,Canyon,376,267,424
Apr-18,384,Canyon,422,313,483
