time,mois_1,temp_1,mois_2,temp_2,mois_3,temp_3,mois_5,temp_5
7/27/17 13:00,0.068,34.8,0.054,33,0.059,38.7,0.074,28.6
7/27/17 14:00,0.07,38.1,0.055,35.6,0.063,43,0.075,29.5
7/27/17 15:00,0.07,39.9,0.055,37.7,0.063,45.3,0.077,32.1
7/27/17 16:00,0.067,38,0.053,36.7,0.06,41.2,0.076,33.1
7/27/17 17:00,0.063,33.1,0.049,32.3,0.055,33.3,0.074,31.3
7/27/17 18:00,0.06,28.6,0.047,28.3,0.052,27.3,0.072,28.7
7/27/17 19:00,0.059,25.2,0.045,25.3,0.051,24,0.07,26.3
7/27/17 20:00,0.058,23.4,0.044,23.8,0.051,22.1,0.069,24.8
7/27/17 21:00,0.057,21.3,0.044,21.9,0.05,19.8,0.068,23.3
7/27/17 22:00,0.056,19.5,0.043,20.3,0.049,17.9,0.067,21.9
7/27/17 23:00,0.056,18.2,0.042,19,0.049,16.8,0.067,20.7
7/28/17 0:00,0.055,17.2,0.042,18.1,0.049,15.8,0.067,19.8
7/28/17 1:00,0.055,16.4,0.042,17.3,0.049,15.1,0.066,18.9
7/28/17 2:00,0.055,16.1,0.042,17,0.049,15.1,0.066,18.3
7/28/17 3:00,0.055,15.3,0.042,16.4,0.049,14.1,0.066,17.9
7/28/17 4:00,0.055,14.5,0.042,15.5,0.049,13.2,0.066,17.2
7/28/17 5:00,0.055,13.7,0.042,14.9,0.048,12.5,0.066,16.6
7/28/17 6:00,0.055,13.1,0.042,14.3,0.048,11.9,0.066,16
7/28/17 7:00,0.055,12.5,0.042,13.8,0.048,11.5,0.067,15.6
7/28/17 8:00,0.055,12.6,0.042,13.7,0.049,12.1,0.067,15.2
7/28/17 9:00,0.056,13.9,0.043,14.6,0.05,13.7,0.067,15.4
7/28/17 10:00,0.059,19.1,0.046,18.7,0.053,20.2,0.069,17.3
7/28/17 11:00,0.063,25.1,0.05,23.7,0.058,27.9,0.07,20.8
7/28/17 12:00,0.067,31,0.053,28.3,0.063,34.7,0.072,24.7
7/28/17 13:00,0.071,35.9,0.057,32.4,0.067,40.3,0.073,28.5
7/28/17 14:00,0.072,39.2,0.058,35.6,0.069,44.7,0.074,31.7
7/28/17 15:00,0.072,41.2,0.058,37.9,0.068,47.3,0.075,34.1
7/28/17 16:00,0.07,41,0.057,38.7,0.066,46.7,0.075,35.5
7/28/17 17:00,0.067,38.6,0.054,36.8,0.062,42.4,0.074,34.9
7/28/17 18:00,0.065,35.7,0.051,34.5,0.058,36.9,0.072,34
7/28/17 19:00,0.062,31.3,0.048,30.3,0.055,30.7,0.069,31.4
7/28/17 20:00,0.06,28.2,0.046,27.6,0.053,27.2,0.067,29.2
7/28/17 21:00,0.058,25.8,0.045,25.5,0.052,24.7,0.065,27.2
