time,mois_1,temp_1,mois_2,temp_2,mois_3,temp_3,mois_5,temp_5
7/13/17 15:00,0.096,32.6,0.112,34.6,0.134,34.7,0.074,41.3
7/13/17 16:00,0.097,31.8,0.11,31.8,0.132,30.7,0.069,35.2
7/13/17 17:00,0.097,31.1,0.109,30.1,0.129,28.2,0.067,31.2
7/13/17 18:00,0.095,30.3,0.108,28.9,0.129,27.4,0.067,29.9
7/13/17 19:00,0.093,28.4,0.107,27.4,0.127,26.5,0.066,27.7
7/13/17 20:00,0.09,25.9,0.105,25.3,0.125,24.6,0.065,25.1
7/13/17 21:00,0.088,23.7,0.103,23.3,0.124,22.8,0.063,23
7/13/17 22:00,0.086,21.8,0.102,21.6,0.123,21.3,0.062,21
7/13/17 23:00,0.085,20.1,0.101,20,0.122,19.9,0.061,19.4
7/14/17 0:00,0.084,18.9,0.101,18.8,0.122,18.8,0.061,18
7/14/17 1:00,0.083,17.8,0.1,17.8,0.122,17.9,0.061,17
7/14/17 2:00,0.082,16.9,0.1,16.9,0.121,17.1,0.061,16
7/14/17 3:00,0.082,16.1,0.1,16,0.121,16.4,0.061,15.1
7/14/17 4:00,0.081,15.4,0.1,15.3,0.121,15.7,0.06,14.4
7/14/17 5:00,0.081,14.7,0.099,14.6,0.121,15.1,0.061,13.7
7/14/17 6:00,0.08,14.1,0.099,14,0.121,14.6,0.061,13
7/14/17 7:00,0.08,13.6,0.099,13.5,0.121,14.1,0.061,12.5
7/14/17 8:00,0.08,13.4,0.099,13.3,0.12,14,0.061,12.6
7/14/17 9:00,0.08,14,0.099,14.1,0.121,14.5,0.061,13.6
7/14/17 10:00,0.081,15.4,0.1,16,0.121,15.9,0.063,16.5
7/14/17 11:00,0.083,17.3,0.101,18.1,0.122,17.8,0.065,19.6
7/14/17 12:00,0.085,20.5,0.102,21.1,0.123,20.4,0.068,23.7
7/14/17 13:00,0.087,23.2,0.103,23.6,0.124,22.3,0.069,26.1
7/14/17 14:00,0.089,27,0.106,27.1,0.125,25.3,0.072,30.1
7/14/17 15:00,0.09,29.7,0.107,29.2,0.126,27.2,0.073,31.8
7/14/17 16:00,0.088,28.6,0.105,28.1,0.125,26,0.071,28.9
7/14/17 17:00,0.086,25.8,0.103,25.8,0.123,24.2,0.068,25.8
