fire,species,period,min,max,mean,median,sd,n_response,n_possible
Berry-Glade,pico,germination,0.06,0.44,0.23733333333333334,0.26,0.11756254667602425,178,750
Berry-Glade,pico,survival,0,0.9230769230769231,0.48892496392496393,0.45454545454545453,0.3491754522830434,366,750
Berry-Glade,pico,establishment,0,0.32,0.13466666666666666,0.14,0.11096116866895803,101,750
Berry-Glade,psme,germination,0.02,0.24,0.10133333333333333,0.1,0.07069720813508294,76,750
Berry-Glade,psme,survival,0,0.6,0.14444444444444446,0,0.22250973464228932,108,750
Berry-Glade,psme,establishment,0,0.1,0.02,0,0.03380617018914066,15,750
Berry-Huck,pico,germination,0,0.34,0.12000000000000001,0.08,0.11735173015950202,90,750
Berry-Huck,pico,survival,0,0.5294117647058824,0.15824929971988796,0,0.21243641661496365,118,750
Berry-Huck,pico,establishment,0,0.18,0.025333333333333333,0,0.0468838483712167,19,750
Berry-Huck,psme,germination,0,0.12,0.050666666666666665,0.04,0.04199773236508757,38,750
Berry-Huck,psme,survival,0,0.6666666666666666,0.07777777777777778,0,0.20765763439299098,58,750
Berry-Huck,psme,establishment,0,0.04,0.004,0,0.011212238211627762,3,750
